# DFSCX (DFA US Micro Cap) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest
# (1991-01 .. 2026-07, 427 months, $10,000 initial), supplied as two pages.
#
# PV summary stats (identical on both pages, same backtest):
#   mean 1.15%  stdev 5.80%  min -23.25%  max 23.58%  %positive 62.53%
#   skew -0.328  excess kurtosis 1.461
#   pctiles: 1st -13.04  5th -8.08  25th -2.38  50th 1.61  75th 4.56
#            95th 9.75  99th 13.77
#
# NOTE ON COVERAGE: the fund's own inception is 1981-12, but this backtest
# starts 1991-01, so it does NOT reach the 1980-82 Volcker window. It extends
# US small/micro history 26 months earlier than DFSVX (1993-03) and covers the
# 1990-91 recession tail.
#
# This is MICRO CAP, not small VALUE -- a size sleeve, not a size+value one.
# Do not treat it as interchangeable with DFSVX.
#
# Rows newest-first as supplied; the loader sorts. `balance` is PV's own
# compounded path -- redundant, not an independent source.
date,monthly_return,balance
2003-03,1.11,51341.45
2003-02,-2.88,50777.26
2003-01,-2.23,52281.77
2002-12,-4.29,53472.84
2002-11,8.36,55866.80
2002-10,2.57,51555.14
2002-09,-6.74,50261.64
2002-08,-0.57,53895.76
2002-07,-14.48,54203.73
2002-06,-3.56,63381.41
2002-05,-2.73,65722.03
2002-04,2.43,67569.88
2002-03,8.84,65968.41
2002-02,-2.77,60609.63
2002-01,1.10,62334.29
2001-12,6.72,61656.75
2001-11,6.74,57775.58
2001-10,6.45,54128.79
2001-09,-12.78,50846.68
2001-08,-2.95,58296.55
2001-07,-2.54,60067.85
2001-06,3.59,61630.76
2001-05,9.60,59494.79
2001-04,7.31,54285.08
2001-03,-4.80,50586.20
2001-02,-7.02,53138.95
2001-01,13.80,57150.42
2000-12,1.90,50221.52
2000-11,-11.10,49284.00
2000-10,-7.06,55439.33
2000-09,-2.17,59653.05
2000-08,9.25,60975.00
2000-07,-3.22,55811.13
2000-06,13.68,57670.13
2000-05,-8.08,50729.88
2000-04,-12.51,55191.47
2000-03,-7.51,63081.86
2000-02,23.58,68204.43
2000-01,5.95,55191.47
1999-12,11.37,52093.14
1999-11,9.71,46776.85
1999-10,-0.87,42636.31
1999-09,-2.21,43009.33
1999-08,-1.91,43979.19
1999-07,0.92,44837.14
1999-06,5.68,44426.81
1999-05,3.87,42039.48
1999-04,9.49,40472.79
1999-03,-3.79,36966.39
1999-02,-6.87,38421.17
1999-01,2.79,41256.13
1998-12,2.52,40137.07
1998-11,7.58,39152.21
1998-10,3.56,36395.01
1998-09,3.69,35145.08
1998-08,-20.10,33895.15
1998-07,-6.71,42424.09
1998-06,-2.06,45475.38
1998-05,-4.97,46431.21
1998-04,1.68,48857.55
1998-03,4.81,48048.77
1998-02,6.49,45843.01
1998-01,-0.59,43049.05
1997-12,-1.71,43306.39
1997-11,-1.55,44058.37
1997-10,-3.86,44751.21
1997-09,8.44,46546.30
1997-08,5.09,42924.63
1997-07,6.05,40846.11
1997-06,4.98,38515.64
1997-05,10.22,36689.06
1997-04,-2.76,33287.85
1997-03,-4.90,34232.63
1997-02,-2.06,35996.22
1997-01,4.20,36752.05
1996-12,2.04,35271.89
1996-11,2.88,34565.26
1996-10,-1.75,33597.20
1996-09,2.91,34195.12
1996-08,4.76,33227.07
1996-07,-9.43,31718.04
1996-06,-5.82,35020.81
1996-05,7.49,37184.70
1996-04,8.48,34593.73
1996-03,2.28,31888.87
1996-02,3.69,31177.07
1996-01,0.28,30066.65
1995-12,2.39,29981.23
1995-11,1.92,29280.67
1995-10,-4.87,28728.40
1995-09,1.95,30198.96
1995-08,3.58,29621.24
1995-07,6.45,28597.10
1995-06,5.68,26863.94
1995-05,2.98,25419.64
1995-04,3.52,24684.37
1995-03,1.45,23844.05
1995-02,2.52,23502.67
1995-01,2.83,22924.95
1994-12,0.24,22294.71
1994-11,-3.26,22242.00
1994-10,1.15,22992.48
1994-09,1.05,22730.91
1994-08,3.37,22495.49
1994-07,1.84,21763.08
1994-06,-2.62,21370.71
1994-05,-0.12,21946.18
1994-04,0.60,21972.34
1994-03,-4.46,21841.55
1994-02,-0.23,22861.69
1994-01,6.18,22914.01
1993-12,1.94,21579.97
1993-11,-1.75,21170.04
1993-10,4.71,21547.71
1993-09,3.16,20578.18
1993-08,3.39,19947.99
1993-07,1.66,19293.56
1993-06,-0.38,18978.46
1993-05,3.42,19051.18
1993-04,-3.06,18420.99
1993-03,2.89,19002.70
1993-02,-1.80,18469.46
1993-01,5.43,18808.80
1992-12,4.41,17839.27
1992-11,8.85,17085.52
1992-10,2.59,15696.64
1992-09,1.31,15299.81
1992-08,-2.28,15101.40
1992-07,3.70,15454.13
1992-06,-5.19,14902.99
1992-05,-0.14,15718.68
1992-04,-4.03,15740.73
1992-03,-2.49,16402.10
1992-02,4.52,16820.97
1992-01,11.45,16093.46
1991-12,5.85,14440.02
1991-11,-3.06,13642.24
1991-10,3.49,14073.28
1991-09,0.32,13599.14
1991-08,2.61,13556.03
1991-07,4.07,13211.21
1991-06,-4.85,12693.97
1991-05,3.34,13340.52
1991-04,0.34,12909.48
1991-03,6.80,12866.38
1991-02,11.13,12047.41
1991-01,8.41,10840.52
