# DFSVX (DFA US Small Cap Value) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest
# (1993-03 .. 2026-07, $10,000 initial), supplied as two paginated pages.
#
# PV summary stats accompanying the series (identical on both pages, same
# backtest), used as the validation target in validate_dfsvx_series.py:
#   mean 1.08%  stdev 5.80%  min -26.60%  max 19.66%  %positive 61.35%
#   skew -0.537  excess kurtosis 2.058
#   pctiles: 1st -14.56  5th -8.38  25th -2.09  50th 1.36  75th 4.61
#            95th 10.00  99th 14.87
#
# WHY THIS SERIES MATTERS (open-questions Q1): the panel's US Small Value
# sleeve is VISVX, which starts 1998-06 -- AFTER the dot-com bubble began
# inflating. DFSVX starts 1993-03 and covers the full run-up and unwind, which
# is the single episode the small-value case rests on.
#
# Rows are newest-first as supplied; the loader sorts. The `balance` column is
# PV's own compounded $10,000 path -- a redundant encoding that catches
# transcription errors, NOT an independent source. Early balances (1993) are
# rounded to the dollar by PV, so a reconstruction drifts slightly there.
date,monthly_return,balance
2013-12,2.72,124060.76
2013-11,5.08,120772.75
2013-10,3.51,114939.12
2013-09,5.24,111038.93
2013-08,-4.17,105507.33
2013-07,7.34,110101.84
2013-06,-0.70,102577.50
2013-05,5.39,103301.62
2013-04,-1.11,98015.18
2013-03,4.91,99112.37
2013-02,1.75,94478.04
2013-01,6.56,92849.10
2012-12,3.72,87131.22
2012-11,1.84,84003.11
2012-10,-0.82,82481.99
2012-09,3.31,83164.94
2012-08,4.21,80496.52
2012-07,-0.24,77241.94
2012-06,4.38,77427.92
2012-05,-7.12,74177.67
2012-04,-1.60,79864.63
2012-03,2.30,81162.74
2012-02,3.18,79339.20
2012-01,7.43,76897.52
2011-12,1.01,71581.45
2011-11,-0.68,70866.08
2011-10,15.82,71351.88
2011-09,-12.58,61605.51
2011-08,-10.58,70468.23
2011-07,-2.88,78803.18
2011-06,-1.81,81136.97
2011-05,-3.12,82631.48
2011-04,1.26,85296.03
2011-03,2.05,84236.27
2011-02,6.28,82540.64
2011-01,0.31,77665.72
2010-12,9.18,77423.49
2010-11,4.49,70916.78
2010-10,4.17,67868.86
2010-09,12.93,65152.90
2010-08,-8.38,57690.84
2010-07,8.69,62965.60
2010-06,-10.14,57931.97
2010-05,-9.90,64472.68
2010-04,8.11,71555.93
2010-03,8.86,66190.74
2010-02,6.15,60803.02
2010-01,-3.16,57277.77
2009-12,7.92,59145.85
2009-11,3.11,54805.74
2009-10,-7.53,53153.15
2009-09,6.33,57479.92
2009-08,5.14,54056.12
2009-07,13.44,51414.84
2009-06,0.35,45321.90
2009-05,3.22,45162.14
2009-04,19.66,43754.57
2009-03,10.40,36566.96
2009-02,-12.71,33122.90
2009-01,-14.28,37944.59
2008-12,5.25,44263.69
2008-11,-12.99,42057.06
2008-10,-22.14,48336.00
2008-09,-6.89,62078.59
2008-08,4.15,66674.06
2008-07,2.07,64016.54
2008-06,-10.10,62717.32
2008-05,4.14,69766.34
2008-04,1.66,66994.56
2008-03,0.84,65903.54
2008-02,-2.84,65351.36
2008-01,-3.94,67260.50
2007-12,-1.20,70021.41
2007-11,-8.72,70873.93
2007-10,1.11,77642.94
2007-09,-0.28,76786.78
2007-08,-0.76,76998.98
2007-07,-7.64,77585.13
2007-06,-1.55,84006.15
2007-05,3.65,85325.51
2007-04,1.81,82322.77
2007-03,1.09,80861.26
2007-02,-0.23,79991.86
2007-01,2.20,80177.76
2006-12,1.38,78451.51
2006-11,3.03,77380.04
2006-10,5.43,75102.00
2006-09,1.19,71231.77
2006-08,1.95,70392.30
2006-07,-3.75,69048.93
2006-06,0.05,71735.66
2006-05,-4.39,71700.88
2006-04,0.98,74991.03
2006-03,6.09,74259.89
2006-02,-0.35,69994.20
2006-01,8.82,70237.57
2005-12,0.34,64542.63
2005-11,4.21,64326.71
2005-10,-2.92,61730.37
2005-09,0.80,63588.10
2005-08,-1.67,63085.95
2005-07,7.11,64156.72
2005-06,4.17,59895.96
2005-05,6.65,57496.66
2005-04,-7.28,53910.08
2005-03,-1.95,58142.69
2005-02,2.70,59299.77
2005-01,-3.57,57740.42
2004-12,3.60,59878.96
2004-11,10.00,57800.01
2004-10,0.96,52543.57
2004-09,4.93,52042.96
2004-08,-1.49,49598.37
2004-07,-5.33,50349.23
2004-06,6.69,53185.80
2004-05,0.38,49849.13
2004-04,-3.17,49661.49
2004-03,0.94,51287.69
2004-02,1.41,50808.17
2004-01,4.89,50099.31
2003-12,5.33,47764.27
2003-11,4.16,45346.24
2003-10,10.00,43533.17
2003-09,-0.78,39575.61
2003-08,5.14,39887.54
2003-07,7.04,37938.00
2003-06,3.65,35442.59
2003-05,11.72,34194.89
2003-04,10.56,30607.74
2003-03,-0.21,27683.43
2003-02,-4.11,27741.92
2003-01,-3.45,28931.14
2002-12,-3.58,29964.39
2002-11,8.52,31076.33
2002-10,1.62,28635.88
2002-09,-7.28,28179.39
2002-08,-1.25,30391.60
2002-07,-15.60,30777.86
2002-06,-2.07,36466.41
2002-05,-3.15,37238.93
2002-04,4.53,38450.38
2002-03,9.86,36782.44
2002-02,-0.16,33481.68
2002-01,1.54,33534.35
2001-12,7.02,33025.19
2001-11,7.81,30858.00
2001-10,3.93,28621.49
2001-09,-14.56,27539.77
2001-08,-1.34,32232.06
2001-07,-1.63,32670.59
2001-06,3.74,33211.45
2001-05,6.16,32012.79
2001-04,6.12,30156.35
2001-03,-2.46,28416.84
2001-02,-1.92,29133.11
2001-01,10.31,29703.20
2000-12,7.73,26925.83
2000-11,-5.44,24992.96
2000-10,-3.78,26429.49
2000-09,-1.85,27466.99
2000-08,7.40,27985.74
2000-07,-0.10,26057.06
2000-06,4.98,26083.66
2000-05,-4.16,24846.65
2000-04,-3.51,25924.05
2000-03,0.30,26868.43
2000-02,9.28,26788.63
2000-01,-0.75,24514.12
1999-12,5.73,24700.34
1999-11,4.53,23360.78
1999-10,-3.42,22349.33
1999-09,-2.67,23141.43
1999-08,-2.74,23775.11
1999-07,-0.45,24445.34
1999-06,6.11,24555.02
1999-05,4.69,23141.43
1999-04,10.68,22105.61
1999-03,-1.92,19973.04
1999-02,-8.24,20363.00
1999-01,1.56,22190.91
1998-12,2.32,21849.70
1998-11,5.30,21355.24
1998-10,4.26,20281.33
1998-09,2.84,19453.52
1998-08,-18.43,18916.56
1998-07,-7.37,23189.84
1998-06,-1.97,25035.64
1998-05,-3.83,25539.03
1998-04,1.93,26557.01
1998-03,4.07,26053.62
1998-02,7.54,25035.64
1998-01,-1.23,23279.34
1997-12,0.09,23570.19
1997-11,-0.85,23549.79
1997-10,-3.55,23752.34
1997-09,7.69,24626.53
1997-08,3.52,22867.49
1997-07,5.98,22089.25
1997-06,6.25,20841.93
1997-05,9.46,19615.94
1997-04,-0.41,17920.86
1997-03,-2.65,17995.49
1997-02,0.00,18485.89
1997-01,2.54,18485.89
1996-12,2.19,18027.47
1996-11,4.74,17641.26
1996-10,0.74,16842.68
1996-09,3.33,16718.23
1996-08,4.56,16178.93
1996-07,-6.22,15473.69
1996-06,-2.09,16500.43
1996-05,3.90,16853.05
1996-04,5.18,16220.41
1996-03,2.76,15421.84
1996-02,2.19,15006.99
1996-01,-0.35,14685.49
1995-12,1.73,14737.35
1995-11,3.72,14487.14
1995-10,-4.91,13967.70
1995-09,1.26,14688.41
1995-08,3.18,14505.70
1995-07,5.40,14059.06
1995-06,3.96,13338.34
1995-05,2.76,12830.79
1995-04,3.54,12485.66
1995-03,1.19,12059.32
1995-02,3.53,11917.21
1995-01,0.98,11511.17
1994-12,1.04,11399.51
1994-11,-3.43,11281.69
1994-10,-1.44,11681.92
1994-09,-0.34,11852.38
1994-08,3.40,11892.49
1994-07,1.68,11501.42
1994-06,-1.83,11310.90
1994-05,0.26,11521.48
1994-04,0.70,11491.40
1994-03,-3.31,11411.18
1994-02,-0.34,11802.25
1994-01,5.16,11842.36
1993-12,2.00,11260.77
1993-11,-2.65,11040.00
1993-10,3.37,11340.00
1993-09,3.49,10970.00
1993-08,3.21,10600.00
1993-07,3.01,10270.00
1993-06,-0.00,9970.00
1993-05,2.68,9970.00
1993-04,-2.12,9710.00
1993-03,-0.80,9920.00
